,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1242,Unlabeled 1242,Unlabeled 1242,Unlabeled 1243,Unlabeled 1243,Unlabeled 1243,Unlabeled 1244,Unlabeled 1244,Unlabeled 1244,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249,Unlabeled 1250,Unlabeled 1250,Unlabeled 1250,Unlabeled 1251,Unlabeled 1251,Unlabeled 1251
,ID,9F99E9165EB73211EE,9F99E9165EB73211EE,9F99E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,A099E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,AF99E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B899E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,B999E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BA99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BD99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,BF99E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C099E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE,C199E9165EB73211EE
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
367,3.058,-39.912579,62.064869,22.784086,-5.171278,61.617237,36.457249,14.037598,40.284813,56.661766,9.832833,42.977734,25.028593,-74.389687,58.666142,27.917545,-24.004581,58.006954,57.895405,-27.342474,55.907078,-6.336544,-74.9291,53.653122,58.280796,-75.935867,59.120155,-6.82968,12.871185,41.438713,-8.205642
368,3.066,-39.919155,62.078712,22.775476,-5.152789,61.616592,36.444664,14.082368,40.299339,56.657166,9.842071,42.982872,25.03075,-74.41098,58.688599,27.913383,-24.005129,58.013542,57.91198,-27.347559,55.897755,-6.321116,-75.066628,53.794949,58.279312,-75.932449,59.119583,-6.831697,12.978278,41.450737,-8.157372
369,3.075,-39.909725,62.064655,22.778826,-5.16717,61.618465,36.45245,14.112639,40.313446,56.6521,9.851126,42.983902,25.032162,-74.444969,58.725082,27.899462,-23.99222,58.022316,57.930901,-27.346617,55.874168,-6.286291,-75.222878,53.947037,58.282341,-75.930283,59.119892,-6.831287,13.06466,41.472687,-8.092622
370,3.083,-39.910706,62.063717,22.780693,-5.173778,61.610664,36.458458,14.130336,40.326031,56.650291,9.870441,42.991814,25.037067,-74.472847,58.752644,27.891806,-23.991085,58.026653,57.941425,-27.348984,55.855453,-6.248151,-75.359894,54.088478,58.280354,-75.929802,59.120823,-6.831629,13.109544,41.491379,-8.033893
371,3.091,-39.912621,62.063324,22.780741,-5.175353,61.614853,36.458321,14.127098,40.325428,56.648689,9.893109,43.002308,25.045738,-74.488853,58.771694,27.894474,-23.991064,58.02932,57.948727,-27.349848,55.831253,-6.20228,-75.469749,54.212749,58.29258,-75.929955,59.120144,-6.83069,13.118954,41.490562,-7.991967
372,3.1,-39.912941,62.060982,22.780687,-5.172607,61.615379,36.456459,14.103346,40.316074,56.645157,9.915151,43.011162,25.053539,-74.505463,58.798592,27.896652,-23.995148,58.034779,57.954414,-27.354622,55.802582,-6.131755,-75.599075,54.369205,58.295155,-75.927124,59.116245,-6.827532,13.11161,41.482468,-7.95849
373,3.108,-39.914299,62.061398,22.78223,-5.174857,61.610825,36.457253,14.069593,40.305386,56.64164,9.926622,43.017399,25.060547,-74.524323,58.828197,27.900707,-23.992802,58.031582,57.954788,-27.340244,55.760212,-6.049348,-75.717674,54.505402,58.309448,-75.923843,59.109295,-6.826121,13.093503,41.472736,-7.934966
374,3.116,-39.913006,62.06078,22.78302,-5.172879,61.614376,36.458492,14.010739,40.28027,56.635624,9.935998,43.023754,25.062454,-74.568817,58.889668,27.914402,-23.992876,58.026917,57.951225,-27.355677,55.739677,-5.987408,-75.846321,54.653698,58.342033,-75.922012,59.108574,-6.827104,13.056906,41.457874,-7.917295
375,3.125,-39.91045,62.060703,22.782978,-5.170817,61.615635,36.456776,13.934437,40.258041,56.628735,9.936119,43.026386,25.067556,-74.629433,58.92886,27.938166,-23.994373,58.022289,57.943314,-27.340714,55.701805,-5.907397,-76.011391,54.824604,58.384007,-75.919998,59.104912,-6.825666,12.996849,41.43013,-7.896967
376,3.133,-39.910389,62.059891,22.782957,-5.170019,61.615013,36.457233,13.831541,40.213379,56.62883,9.93645,43.032616,25.070786,-74.672333,58.995964,27.943707,-24.009361,58.015396,57.930882,-27.339029,55.688431,-5.854249,-76.119408,54.925667,58.381557,-75.918076,59.10009,-6.823905,12.906274,41.384186,-7.866637
377,3.141,-39.909447,62.057899,22.782267,-5.170188,61.616081,36.457207,13.764527,40.20155,56.640099,9.931026,43.038731,25.074572,-74.698051,59.038414,27.94441,-24.007252,58.002357,57.914822,-27.331564,55.663902,-5.808414,-76.221619,55.058502,58.399899,-75.91407,59.092236,-6.822558,12.586286,41.162811,-7.736335
378,3.149,-39.909847,62.058895,22.782608,-5.170988,61.615337,36.458187,13.648952,40.177689,56.666363,9.922997,43.04454,25.07873,-74.719574,59.073711,27.944227,-24.004662,57.993221,57.895393,-27.322254,55.657227,-5.774029,-76.328552,55.168224,58.418037,-75.910027,59.087719,-6.822212,12.447453,41.0966,-7.712992
379,3.158,-39.909546,62.060196,22.782755,-5.171896,61.6152,36.461014,13.451542,40.11084,56.670856,9.910482,43.053005,25.084665,-74.755836,59.136806,27.923954,-24.005596,57.983734,57.878868,-27.327621,55.657841,-5.741972,-76.432655,55.305626,58.44099,-75.908722,59.083771,-6.820739,12.250394,41.009888,-7.741654
380,3.166,-39.910065,62.059639,22.782927,-5.170893,61.615658,36.457829,13.318211,40.09734,56.688297,9.894037,43.058342,25.089273,-74.797874,59.193207,27.910168,-24.004253,57.97279,57.863808,-27.327581,55.651695,-5.713266,-76.537308,55.458935,58.463425,-75.909683,59.083199,-6.81973,12.121848,40.971489,-7.744406
381,3.174,-39.911659,62.059639,22.782045,-5.171935,61.614895,36.456696,13.168722,40.056355,56.688698,9.874251,43.061405,25.096107,-74.856796,59.259785,27.902567,-24.003992,57.965324,57.851444,-27.313486,55.631058,-5.686062,-76.609459,55.56591,58.46917,-75.909851,59.079384,-6.819109,12.004551,40.943287,-7.747036
382,3.183,-39.911232,62.058022,22.782677,-5.171575,61.614079,36.45924,13.011928,40.012104,56.698341,9.853534,43.063404,25.102207,-74.903984,59.299339,27.908745,-23.996553,57.952969,57.837898,-27.320417,55.611931,-5.654733,-76.672935,55.667698,58.479126,-75.910271,59.078728,-6.818179,11.840049,40.899685,-7.754442
383,3.191,-39.91151,62.059082,22.782454,-5.171039,61.615459,36.458923,12.826368,39.962849,56.732494,9.829297,43.059498,25.109169,-74.924706,59.327213,27.910351,-23.994293,57.951702,57.834877,-27.324041,55.612286,-5.643375,-76.738373,55.764164,58.494961,-75.907982,59.078682,-6.817093,11.599209,40.815559,-7.799409
384,3.2,-39.910431,62.058861,22.780272,-5.170052,61.615925,36.459358,12.624796,39.909519,56.741589,9.79921,43.054111,25.11433,-74.966797,59.390419,27.895308,-23.992235,57.953159,57.836811,-27.324972,55.609615,-5.643339,-76.811859,55.845577,58.514904,-75.907478,59.079422,-6.820676,11.408338,40.768101,-7.810084
385,3.208,-39.909309,62.059338,22.779373,-5.170265,61.61607,36.459831,12.441048,39.882011,56.752621,9.764896,43.044941,25.117916,-74.997749,59.44355,27.883759,-24.002161,57.964115,57.851074,-27.323399,55.608833,-5.648948,-76.855392,55.899937,58.523579,-75.907974,59.082268,-6.821178,11.236679,40.733315,-7.825748
386,3.216,-39.910603,62.059898,22.781458,-5.169253,61.614544,36.459908,12.264221,39.850689,56.755875,9.729106,43.033459,25.125261,-75.008102,59.474258,27.891891,-24.003265,57.972836,57.862545,-27.325306,55.609821,-5.659348,-76.883331,55.94191,58.525604,-75.907494,59.079605,-6.819378,11.018978,40.717297,-7.857463
387,3.225,-39.912132,62.060123,22.781807,-5.170403,61.616486,36.459873,12.017246,39.776604,56.791695,9.679766,43.014965,25.134043,-74.99321,59.45174,27.929024,-24.004545,57.983635,57.881039,-27.323454,55.638439,-5.699356,-76.902824,55.971886,58.523762,-75.908592,59.086102,-6.823091,10.806582,40.699574,-7.870147
388,3.233,-39.912518,62.058945,22.782999,-5.169376,61.614609,36.460438,11.806374,39.725521,56.822388,9.611407,42.985691,25.157696,-74.973503,59.42561,27.935293,-24.003544,57.991272,57.897442,-27.323133,55.645466,-5.718431,-76.90799,55.98027,58.519913,-75.909515,59.085697,-6.818985,10.580977,40.653465,-7.892475
389,3.241,-39.912609,62.058418,22.784412,-5.170134,61.615227,36.458954,11.639658,39.733288,56.82473,9.534826,42.953941,25.189421,-74.959152,59.410007,27.91781,-24.002783,57.998158,57.917179,-27.323744,55.647858,-5.733612,-76.906349,55.975487,58.51519,-75.910881,59.088116,-6.819005,10.322224,40.586548,-7.954308
390,3.25,-39.912514,62.058128,22.783421,-5.17038,61.61422,36.459576,11.397726,39.709713,56.818356,9.445679,42.923813,25.18712,-74.954758,59.394646,27.907545,-24.004286,58.007217,57.933418,-27.321222,55.647491,-5.755741,-76.892822,55.952583,58.511047,-75.910995,59.089142,-6.820131,10.089782,40.560349,-7.995447
391,3.258,-39.91198,62.057774,22.783745,-5.170317,61.614246,36.459858,11.139255,39.624512,56.875454,9.402006,42.914803,25.191185,-74.956779,59.371227,27.911806,-23.989939,58.015465,57.947964,-27.319796,55.651897,-5.77723,-76.869301,55.915611,58.50737,-75.910408,59.090878,-6.821113,9.801611,40.499748,-8.066957
392,3.266,-39.913128,62.058258,22.783146,-5.170242,61.615337,36.459999,10.957019,39.621468,56.860382,9.358735,42.904949,25.19632,-74.929558,59.32827,27.915827,-23.988152,58.023296,57.956875,-27.324697,55.648197,-5.80125,-76.832756,55.860077,58.501648,-75.910095,59.091724,-6.821408,9.561185,40.461636,-8.080278
393,3.274,-39.912407,62.05814,22.783337,-5.169263,61.615181,36.459435,10.732584,39.601536,56.849281,9.318818,42.92202,25.208673,-74.90374,59.288757,27.916735,-23.988995,58.026718,57.961948,-27.323174,55.651527,-5.82363,-76.775238,55.795258,58.490433,-75.910912,59.092224,-6.822304,9.334328,40.459988,-8.098689
394,3.283,-39.911507,62.05864,22.783403,-5.169478,61.61573,36.459293,10.518244,39.582485,56.850128,9.273903,42.92424,25.215698,-74.885094,59.264397,27.910269,-23.991035,58.030926,57.964767,-27.325317,55.658489,-5.855008,-76.695824,55.685051,58.471603,-75.91156,59.093414,-6.823166,9.056813,40.506649,-8.126602
395,3.291,-39.91272,62.05806,22.784031,-5.169486,61.613888,36.459702,10.260681,39.510406,56.901657,9.232516,42.92738,25.225508,-74.856506,59.219933,27.909517,-23.989756,58.026802,57.962299,-27.329605,55.669739,-5.885477,-76.599731,55.569641,58.438969,-75.911179,59.091152,-6.822104,8.900763,40.560375,-8.072035
396,3.299,-39.913647,62.05756,22.785027,-5.172285,61.608269,36.461243,10.060023,39.523617,56.877296,9.182261,42.935734,25.230026,-74.826744,59.173275,27.918291,-23.990715,58.022297,57.956673,-27.331867,55.678337,-5.912854,-76.502434,55.454887,58.430542,-75.916046,59.094482,-6.822733,8.638033,40.550503,-8.095352
397,3.308,-39.915771,62.057068,22.786966,-5.173329,61.612995,36.460304,9.846657,39.525124,56.874458,9.127977,42.937675,25.234869,-74.802307,59.134983,27.919838,-23.990267,58.016289,57.949524,-27.330032,55.683399,-5.941858,-76.395203,55.308578,58.446007,-75.917145,59.096233,-6.822348,8.358198,40.533764,-8.152159
